Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,1password-scim.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.1password-scim.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.1password-scim.appfarm.io.txt
http,80,accounts.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.accounts.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.accounts.appfarm.io.txt
http,80,accounts.dev.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.accounts.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.accounts.dev.appfarm.io.txt
http,80,accounts.staging.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.accounts.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.accounts.staging.appfarm.io.txt
http,80,accounts.test.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.accounts.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.accounts.test.appfarm.io.txt
http,80,af-dev-cluster-01.dev.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.customer-cluster-07.prod.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.af-dev-cluster-01.dev.appfarm.io.txt
http,80,af-dev-cluster-02.dev.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.customer-cluster-07.prod.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.af-dev-cluster-02.dev.appfarm.io.txt
http,80,af-public-cluster.prod.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.af-public-cluster.test.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.af-public-cluster.prod.appfarm.io.txt
http,80,af-public-cluster.staging.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.af-public-cluster.test.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.af-public-cluster.staging.appfarm.io.txt
http,80,af-public-cluster.test.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.af-public-cluster.test.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.af-public-cluster.test.appfarm.io.txt
http,80,api.appfarm.io,Successful,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/screens/http.api.test.appfarm.io.png,/home/jai/Documents/automations/programs/appfarm.io/Eyewitness/source/http.api.appfarm.io.txt
