URL,80
1password-scim.appfarm.io,X,
accounts.appfarm.io,X,
accounts.dev.appfarm.io,X,
accounts.staging.appfarm.io,X,
accounts.test.appfarm.io,X,
af-dev-cluster-01.dev.appfarm.io,X,
af-dev-cluster-02.dev.appfarm.io,X,
af-public-cluster.prod.appfarm.io,X,
af-public-cluster.staging.appfarm.io,X,
af-public-cluster.test.appfarm.io,X,
api.appfarm.io,X,
api.dev.appfarm.io,X,
api.staging.appfarm.io,X,
api.test.appfarm.io,X,
appfarm.io,X,
appverse.test.appfarm.io,X,
blog.appfarm.io,X,
careers.appfarm.io,X,
community.appfarm.io,X,
create.appfarm.io,X,
create.dev.appfarm.io,X,
create.staging.appfarm.io,X,
create.test.appfarm.io,X,
customer-cluster-02.test.appfarm.io,X,
customer-cluster-05.prod.appfarm.io,X,
customer-cluster-06.prod.appfarm.io,X,
customer-cluster-07.prod.appfarm.io,X,
customer-cluster-08.prod.appfarm.io,X,
dev.appfarm.io,X,
discover.appfarm.io,X,
docs.appfarm.io,X,
farmersmarket.appfarm.io,X,
farmersmarket.dev.appfarm.io,X,
farmersmarket.staging.appfarm.io,X,
farmersmarket.test.appfarm.io,X,
gitlab.appfarm.io,X,
gitlab.dev.appfarm.io,X,
harvest.appfarm.io,X,
icons.appfarm.io,X,
image-service.appfarm.io,X,
image-service.dev.appfarm.io,X,
image-service.test.appfarm.io,X,
lekeland.dev.appfarm.io,X,
ojb-2.dev.appfarm.io,X,
pdf-service.appfarm.io,X,
pdf-service.dev.appfarm.io,X,
pdf-service.test.appfarm.io,X,
piedpiper.test.appfarm.io,X,
policies.appfarm.io,X,
prod.appfarm.io,X,
resources.appfarm.io,X,
resources.dev.appfarm.io,X,
resources.test.appfarm.io,X,
staging.appfarm.io,X,
status.appfarm.io,X,
stressfabrikken.dev.appfarm.io,X,
stress.test.appfarm.io,X,
support.appfarm.io,X,
test.appfarm.io,X,
vanta-gitlab.appfarm.io,X,
www.appfarm.io,X,
