Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,admin-merge.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.admin-merge.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.admin-merge.augmont.com.txt
http,80,admin-merge-uat.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.admin-merge-uat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.admin-merge-uat.augmont.com.txt
http,80,agatest.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.agauat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.agatest.augmont.com.txt
http,80,agauat.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.agauat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.agauat.augmont.com.txt
http,80,agilefinancewvuat.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.agilefinancewvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.agilefinancewvuat.augmont.com.txt
http,80,alpsdeal.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.alpsdeal.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.alpsdeal.augmont.com.txt
http,80,alpsdealwvuat.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.alpsdealwvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.alpsdealwvuat.augmont.com.txt
http,80,augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.augmont.com.txt
http,80,axisdirect.augmont.com,BadStatus,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.axisdirect.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.axisdirect.augmont.com.txt
http,80,axiswvuat.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.axiswvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.axiswvuat.augmont.com.txt
http,80,bajaj.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.bajaj.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.bajaj.augmont.com.txt
http,80,bajajwvuat.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.bajajwvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.bajajwvuat.augmont.com.txt
http,80,bhdemoone.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.bhdemoone.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.bhdemoone.augmont.com.txt
http,80,bhdemotwo.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.bhdemoone.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.bhdemotwo.augmont.com.txt
http,80,biznextwvuat.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.biznextwvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.biznextwvuat.augmont.com.txt
http,80,cambridgewvuat.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.cambridgewvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.cambridgewvuat.augmont.com.txt
http,80,careers.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.careers.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.careers.augmont.com.txt
http,80,cashe.augmont.com,BadStatus,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.cashe.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.cashe.augmont.com.txt
http,80,ccwvuat.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.ccwvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.ccwvuat.augmont.com.txt
http,80,cpanel.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.cpanel.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.cpanel.augmont.com.txt
http,80,credettcapital.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.credettcapital.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.credettcapital.augmont.com.txt
http,80,dc-aa8e722993._spfm.augmont.com,BadStatus,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.dc-aa8e722993._spfm.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.dc-aa8e722993._spfm.augmont.com.txt
http,80,demoadmin.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.demoadmin.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.demoadmin.augmont.com.txt
http,80,demo.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.demo.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.demo.augmont.com.txt
http,80,democapital123wvuat.augmont.com,Timeout,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.democapital123wvuat.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.democapital123wvuat.augmont.com.txt
http,80,democustomer.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.democustomer.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.democustomer.augmont.com.txt
http,80,demoshop.augmont.com,Successful,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/screens/http.demoshop.augmont.com.png,/home/jai/Documents/automations/programs/augmont.com/Eyewitness/source/http.demoshop.augmont.com.txt
