URL,80
admin-merge.augmont.com,X,
admin-merge-uat.augmont.com,X,
agatest.augmont.com,X,
agauat.augmont.com,X,
agilefinancewvuat.augmont.com,X,
alpsdeal.augmont.com,X,
alpsdealwvuat.augmont.com,X,
augmont.com,X,
axisdirect.augmont.com,X,
axiswvuat.augmont.com,X,
bajaj.augmont.com,X,
bajajwvuat.augmont.com,X,
bhdemoone.augmont.com,X,
bhdemotwo.augmont.com,X,
biznextwvuat.augmont.com,X,
cambridgewvuat.augmont.com,X,
careers.augmont.com,X,
cashe.augmont.com,X,
ccwvuat.augmont.com,X,
cpanel.augmont.com,X,
credettcapital.augmont.com,X,
dc-aa8e722993._spfm.augmont.com,X,
demoadmin.augmont.com,X,
demo.augmont.com,X,
democapital123wvuat.augmont.com,X,
democustomer.augmont.com,X,
demoshop.augmont.com,X,
demowvuat.augmont.com,X,
developer.augmont.com,X,
dhanvarshawvuat.augmont.com,X,
digicoinwvuat.augmont.com,X,
digigoldcoin.augmont.com,X,
easemydeal.augmont.com,X,
edwaar.augmont.com,X,
edwaarwvuat.augmont.com,X,
emiapiuat.augmont.com,X,
emi-exp.augmont.com,X,
emi-merge.augmont.com,X,
emitest.augmont.com,X,
enrichbroking.augmont.com,X,
enrichcapital.augmont.com,X,
enrichwvuat.augmont.com,X,
equiseedwealth.augmont.com,X,
equiseedwealthwvuat.augmont.com,X,
ethicalwaywvuat.augmont.com,X,
finplaywvuat.augmont.com,X,
goldenbatua.augmont.com,X,
goldenbatuawvuat.augmont.com,X,
goldflow.augmont.com,X,
goldflowwvuat.augmont.com,X,
goldmine.augmont.com,X,
goldminecustomer.augmont.com,X,
goldminelnt.augmont.com,X,
goldminewvdemo.augmont.com,X,
goldmitra.augmont.com,X,
golduatadmin.augmont.com,X,
golduatcustomer.augmont.com,X,
homecredit.augmont.com,X,
homecreditwvuat.augmont.com,X,
htmediawvuat.augmont.com,X,
ibja.augmont.com,X,
ibjawvuat.augmont.com,X,
insights.augmont.com,X,
isolutions.augmont.com,X,
isolutionswvuat.augmont.com,X,
isolutionwvuat.augmont.com,X,
jenkins.augmont.com,X,
jewelfinawvuat.augmont.com,X,
jewellers.augmont.com,X,
kalyan.augmont.com,X,
kalyanwvuat.augmont.com,X,
kuberjee.augmont.com,X,
lenditt.augmont.com,X,
link.augmont.com,X,
lnttest.augmont.com,X,
lntuat.augmont.com,X,
loadtest.augmont.com,X,
ltfs.augmont.com,X,
m1-merge.augmont.com,X,
m2-merge.augmont.com,X,
merge.augmont.com,X,
merge-uat.augmont.com,X,
mwfinserv.augmont.com,X,
mwfinservwvuat.augmont.com,X,
olcinvest.augmont.com,X,
olcinvestwvuat.augmont.com,X,
onecode.augmont.com,X,
onecodewvuat.augmont.com,X,
perfectfinserve.augmont.com,X,
pfwvuat.augmont.com,X,
pngadgil.augmont.com,X,
pngwvuat.augmont.com,X,
reliancesmartmoney.augmont.com,X,
reliancewvuat.augmont.com,X,
rsblmig1212.augmont.com,X,
sanvikabullion.augmont.com,X,
sip.augmont.com,X,
sipwvuat.augmont.com,X,
stagingwvdemo2.augmont.com,X,
stagingwvdemo3.augmont.com,X,
stagingwvdemo4.augmont.com,X,
stagingwvdemo5.augmont.com,X,
stagingwvdemo.augmont.com,X,
tatacapitalmoneyfy.augmont.com,X,
tatacapitalwvuat.augmont.com,X,
testadmin.augmont.com,X,
wealthzi.augmont.com,X,
wealthziwvuat.augmont.com,X,
webdisk.augmont.com,X,
www.augmont.com,X,
www.goldmitra.augmont.com,X,
www.insights.augmont.com,X,
yourdomain.augmont.com,X,
