URL,80
ae.codapayments.com,X,
airtime.codapayments.com,X,
airtime-eh1.codapayments.com,X,
ar.codapayments.com,X,
ar.codm.codapayments.com,X,
at.codapayments.com,X,
at.codm.codapayments.com,X,
au.codapayments.com,X,
au.codm.codapayments.com,X,
bd.codapayments.com,X,
bd.codm.codapayments.com,X,
be.codapayments.com,X,
be.codm.codapayments.com,X,
bh.codapayments.com,X,
bh.codm.codapayments.com,X,
bitwarden.codapayments.com,X,
bo.codapayments.com,X,
bo.codm.codapayments.com,X,
br.codapayments.com,X,
br.codm.codapayments.com,X,
ca.codapayments.com,X,
cdn1.codapayments.com,X,
changepwd.codapayments.com,X,
ch.codapayments.com,X,
cl.codapayments.com,X,
cn.codapayments.com,X,
co.codapayments.com,X,
codapayments.com,X,
crm-xshop-compliant-prod.codapayments.com,X,
de.codapayments.com,X,
distributor-portal.codapayments.com,X,
distributor-portal-documentation.codapayments.com,X,
dk.codapayments.com,X,
ec.codapayments.com,X,
eg.codapayments.com,X,
es.codapayments.com,X,
fi.codapayments.com,X,
files2-dev.codapayments.com,X,
fr.codapayments.com,X,
fr.codm.codapayments.com,X,
ftp.codapayments.com,X,
gb.codapayments.com,X,
global.codapayments.com,X,
global.codm.codapayments.com,X,
grab-demo.codapayments.com,X,
hk.codapayments.com,X,
id.codapayments.com,X,
in.codapayments.com,X,
internal.codapayments.com,X,
iq.codapayments.com,X,
it.codapayments.com,X,
jp.codapayments.com,X,
kh.codapayments.com,X,
kr.codapayments.com,X,
kw.codapayments.com,X,
la.codapayments.com,X,
legal.codapayments.com,X,
lk.codapayments.com,X,
ma.codapayments.com,X,
m.codapayments.com,X,
merlin.codapayments.com,X,
metabase.codapayments.com,X,
metrics.codapayments.com,X,
midas.codapayments.com,X,
midas-qa1.codapayments.com,X,
midas-qa2.codapayments.com,X,
mm.codapayments.com,X,
mn.codapayments.com,X,
mn.codm.codapayments.com,X,
mx.codapayments.com,X,
mx.codm.codapayments.com,X,
my.codapayments.com,X,
ng.codapayments.com,X,
ng.codm.codapayments.com,X,
nl.codapayments.com,X,
no.codapayments.com,X,
np.codapayments.com,X,
online.codapayments.com,X,
operator-api.codapayments.com,X,
pe.codapayments.com,X,
ph.codapayments.com,X,
pk.codapayments.com,X,
pk.codm.codapayments.com,X,
pl.codapayments.com,X,
portal.codapayments.com,X,
pt.codapayments.com,X,
publisher-api.codapayments.com,X,
publisher.codapayments.com,X,
py.codapayments.com,X,
qa.codapayments.com,X,
ru.codapayments.com,X,
sa.codapayments.com,X,
sa.codm.codapayments.com,X,
sandbox.codapayments.com,X,
sdk-api.codapayments.com,X,
sdk-api-qa.codapayments.com,X,
se.codapayments.com,X,
sg.codapayments.com,X,
shop.codapayments.com,X,
stage.codapayments.com,X,
staging-distributor-portal.codapayments.com,X,
staging-distributor-portal-documentation.codapayments.com,X,
support.ae.codapayments.com,X,
support.ar.codapayments.com,X,
support.at.codapayments.com,X,
support.au.codapayments.com,X,
support.bd.codapayments.com,X,
support.be.codapayments.com,X,
support.bh.codapayments.com,X,
support.bo.codapayments.com,X,
support.br.codapayments.com,X,
support.ca.codapayments.com,X,
support.ch.codapayments.com,X,
support.cl.codapayments.com,X,
support.co.codapayments.com,X,
support.codapayments.com,X,
support.de.codapayments.com,X,
support.dk.codapayments.com,X,
support.ec.codapayments.com,X,
support.eg.codapayments.com,X,
support.es.codapayments.com,X,
support.fi.codapayments.com,X,
support.fr.codapayments.com,X,
support.gb.codapayments.com,X,
support.global.codapayments.com,X,
support.hk.codapayments.com,X,
support.id.codapayments.com,X,
support.in.codapayments.com,X,
support.iq.codapayments.com,X,
support.it.codapayments.com,X,
support.jp.codapayments.com,X,
support.kh.codapayments.com,X,
support.kr.codapayments.com,X,
support.kw.codapayments.com,X,
support.kz.codapayments.com,X,
support.la.codapayments.com,X,
support.lk.codapayments.com,X,
support.ma.codapayments.com,X,
support.mm.codapayments.com,X,
support.mn.codapayments.com,X,
support.mx.codapayments.com,X,
support.my.codapayments.com,X,
support.ng.codapayments.com,X,
support.nl.codapayments.com,X,
support.no.codapayments.com,X,
support.np.codapayments.com,X,
support.pe.codapayments.com,X,
support.ph.codapayments.com,X,
support.pk.codapayments.com,X,
support.pl.codapayments.com,X,
support.pt.codapayments.com,X,
support.py.codapayments.com,X,
support.qa.codapayments.com,X,
support.ru.codapayments.com,X,
support.sa.codapayments.com,X,
support.se.codapayments.com,X,
support.sg.codapayments.com,X,
support.test.codapayments.com,X,
support.th.codapayments.com,X,
support.tl.codapayments.com,X,
support.tr.codapayments.com,X,
support.tw.codapayments.com,X,
support.us.codapayments.com,X,
support.uy.codapayments.com,X,
support.vn.codapayments.com,X,
support.za.codapayments.com,X,
tableau.codapayments.com,X,
th.codapayments.com,X,
tl.codapayments.com,X,
tmw-demo.codapayments.com,X,
tr.codapayments.com,X,
tr.codm.codapayments.com,X,
tw.codapayments.com,X,
us.codapayments.com,X,
us.codm.codapayments.com,X,
uy.codapayments.com,X,
vn.codapayments.com,X,
w.codapayments.com,X,
www.codapayments.com,X,
xshop-api-gw-external-portal.codapayments.com,X,
xshop-api-gw-internal-portal.codapayments.com,X,
za.codapayments.com,X,
