URL,80
accounts.codashop.com,X,
admin-cgs.codashop.com,X,
ae.support.codashop.com,X,
api-cgs.codashop.com,X,
api.codashop.com,X,
api-eu.codashop.com,X,
api-eu-staging.codashop.com,X,
api-sa.codashop.com,X,
api-sa-staging.codashop.com,X,
api-sg.codashop.com,X,
api-us.codashop.com,X,
api-us-staging.codashop.com,X,
app.codashop.com,X,
ar.support.codashop.com,X,
at.support.codashop.com,X,
au.support.codashop.com,X,
bd.support.codashop.com,X,
be.support.codashop.com,X,
bh.support.codashop.com,X,
bo.support.codashop.com,X,
br.support.codashop.com,X,
ca.support.codashop.com,X,
cdn1.codashop.com,X,
cdn2.codashop.com,X,
cgs.codashop.com,X,
ch.support.codashop.com,X,
cl.support.codashop.com,X,
club.codashop.com,X,
codacash.codashop.com,X,
codacash-qa.codashop.com,X,
codashop.com,X,
community.club.codashop.com,X,
community.codashop.com,X,
corporate.support.codashop.com,X,
co.support.codashop.com,X,
cz.support.codashop.com,X,
de.support.codashop.com,X,
dev-api.codashop.com,X,
dev-shop-api.codashop.com,X,
digi.codashop.com,X,
discord.support.codashop.com,X,
dk.support.codashop.com,X,
ec.support.codashop.com,X,
eg.support.codashop.com,X,
es.support.codashop.com,X,
eu-qa.codashop.com,X,
fi.support.codashop.com,X,
fr.support.codashop.com,X,
games.codashop.com,X,
gb.support.codashop.com,X,
global.support.codashop.com,X,
grab.codashop.com,X,
grab-shop-client.codashop.com,X,
gr.support.codashop.com,X,
hk.support.codashop.com,X,
hu.support.codashop.com,X,
id.support.codashop.com,X,
in.support.codashop.com,X,
iq.support.codashop.com,X,
it.support.codashop.com,X,
jp.support.codashop.com,X,
ke.support.codashop.com,X,
kh.support.codashop.com,X,
kr.support.codashop.com,X,
kw.support.codashop.com,X,
kz.support.codashop.com,X,
la.support.codashop.com,X,
legal.codashop.com,X,
line.codashop.com,X,
lk.support.codashop.com,X,
lunargifting.codashop.com,X,
marketing.codashop.com,X,
ma.support.codashop.com,X,
mm.support.codashop.com,X,
mn.support.codashop.com,X,
mx.support.codashop.com,X,
my.support.codashop.com,X,
na-qa.codashop.com,X,
news.codashop.com,X,
ng.support.codashop.com,X,
nl.support.codashop.com,X,
no.support.codashop.com,X,
np.support.codashop.com,X,
nz.support.codashop.com,X,
order.codashop.com,X,
order-eu.codashop.com,X,
order-eu-staging.codashop.com,X,
order-sa-staging.codashop.com,X,
order-sg.codashop.com,X,
order-sg-new.codashop.com,X,
order-sg-staging.codashop.com,X,
order-us.codashop.com,X,
order-us-staging.codashop.com,X,
pe.support.codashop.com,X,
ph.support.codashop.com,X,
pk.support.codashop.com,X,
pl.support.codashop.com,X,
pt.support.codashop.com,X,
publisher.codashop.com,X,
py.support.codashop.com,X,
qa.codashop.com,X,
qa-order.codashop.com,X,
qa.support.codashop.com,X,
ro.support.codashop.com,X,
ru.support.codashop.com,X,
sa.support.codashop.com,X,
se.support.codashop.com,X,
sg.support.codashop.com,X,
staging-api-india.codashop.com,X,
support.codashop.com,X,
th.support.codashop.com,X,
tl.support.codashop.com,X,
tmw.codashop.com,X,
tri.codashop.com,X,
tri-shop-client.codashop.com,X,
tr.support.codashop.com,X,
tw.support.codashop.com,X,
us.support.codashop.com,X,
uy.support.codashop.com,X,
vip.support.codashop.com,X,
vn.support.codashop.com,X,
whitelabel.codashop.com,X,
www.codashop.com,X,
xshop-sandbox.codashop.com,X,
za.support.codashop.com,X,
