Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,account.coloros.com,BadStatus,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.account.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.account.coloros.com.txt
http,80,activity.coloros.com,BadStatus,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.activity.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.activity.coloros.com.txt
http,80,after-sales-eu.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.after-sales-eu.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.after-sales-eu.coloros.com.txt
http,80,after-sales-sg.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.after-sales-sg.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.after-sales-sg.coloros.com.txt
http,80,aiscan-new-cn.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.aiscan-new-cn.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.aiscan-new-cn.coloros.com.txt
http,80,apps.coloros.com,BadStatus,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.apps.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.apps.coloros.com.txt
http,80,asdt.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.asdt.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.asdt.coloros.com.txt
http,80,athletic-board.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.log-eap-in.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.athletic-board.coloros.com.txt
http,80,avlconf.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.avlsecfs.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.avlconf.coloros.com.txt
http,80,avlsecfs.coloros.com,Successful,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.avlsecfs.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.avlsecfs.coloros.com.txt
http,80,bbs.coloros.com,Timeout,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/screens/http.bbs.coloros.com.png,/home/jai/Documents/automations/programs/coloros.com/Eyewitness/source/http.bbs.coloros.com.txt
