URL,80
account.coloros.com,X,
activity.coloros.com,X,
after-sales-eu.coloros.com,X,
after-sales-sg.coloros.com,X,
aiscan-new-cn.coloros.com,X,
apps.coloros.com,X,
asdt.coloros.com,X,
athletic-board.coloros.com,X,
avlconf.coloros.com,X,
avlsecfs.coloros.com,X,
bbs.coloros.com,X,
bbs.static.coloros.com,X,
breeno.apps.coloros.com,X,
breeno.coloros.com,X,
breenofs.apps.coloros.com,X,
breeno-fs.coloros.com,X,
breenofs.coloros.com,X,
callaide.coloros.com,X,
classify.apps.coloros.com,X,
classify-eu.apps.coloros.com,X,
classify-f.apps.coloros.com,X,
*.clonephone.coloros.com,X,
clonephone.coloros.com,X,
clonephonefs.coloros.com,X,
cloudflare-verify.coloros.com,X,
*.coloros.com,X,
coloros.com,X,
coloroswebsitefs.coloros.com,X,
*.comm.coloros.com,X,
comm.coloros.com,X,
community.coloros.com,X,
component-ota-afs.coloros.com,X,
component-ota.coloros.com,X,
component-ota-eu.coloros.com,X,
component-ota-f.coloros.com,X,
component-ota-fs.coloros.com,X,
component-ota-fs-f.coloros.com,X,
component-ota-in.coloros.com,X,
conn1.coloros.com,X,
conn2.coloros.com,X,
conn2-origin-8318c4.coloros.com,X,
conn3.coloros.com,X,
conn3-eu.coloros.com,X,
conn4.coloros.com,X,
conn5.coloros.com,X,
disaster.coloros.com,X,
downgradefs.coloros.com,X,
dynamic-icon-fs.coloros.com,X,
en.coloros.com,X,
eu.coloros.com,X,
feedbackfs.coloros.com,X,
feedbackfs.foreign.coloros.com,X,
file-grom.coloros.com,X,
fileload.coloros.com,X,
fms.coloros.com,X,
*.foreign.coloros.com,X,
foreign.coloros.com,X,
fourier-carcontrol-cn.coloros.com,X,
fourier-newds01-eu.coloros.com,X,
fourier-newds01-sg.coloros.com,X,
fourier-newds02-eu.coloros.com,X,
fourier-newds02-sg.coloros.com,X,
fourier-phonescan-in.coloros.com,X,
