Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,api.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.api.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.api.genians.com.txt
http,80,beta.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.beta.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.beta.genians.com.txt
http,80,bp.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.jira.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.bp.genians.com.txt
http,80,cc50.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.cc50.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.cc50.genians.com.txt
http,80,docs.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.docs.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.docs.genians.com.txt
http,80,en.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.en.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.en.genians.com.txt
http,80,genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.genians.com.txt
http,80,invoice.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.invoice.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.invoice.genians.com.txt
http,80,jira.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.jira.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.jira.genians.com.txt
http,80,journey.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.journey.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.journey.genians.com.txt
http,80,my.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.my.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.my.genians.com.txt
http,80,old.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.old.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.old.genians.com.txt
http,80,partner.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.partner.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.partner.genians.com.txt
http,80,pi-api.genians.com,BadStatus,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.pi-api.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.pi-api.genians.com.txt
http,80,si.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.si.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.si.genians.com.txt
http,80,status.genians.com,BadStatus,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.status.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.status.genians.com.txt
http,80,status.my.genians.com,BadStatus,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.status.my.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.status.my.genians.com.txt
http,80,status-region.my.genians.com,BadStatus,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.status-region.my.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.status-region.my.genians.com.txt
http,80,status-service.genians.com,BadStatus,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.status-service.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.status-service.genians.com.txt
http,80,status-web.genians.com,BadStatus,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.status-web.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.status-web.genians.com.txt
http,80,survey.genians.com,Successful,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.survey.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.survey.genians.com.txt
http,80,www.genians.com,Timeout,/home/jai/Documents/automations/programs/genians.com/Eyewitness/screens/http.www.genians.com.png,/home/jai/Documents/automations/programs/genians.com/Eyewitness/source/http.www.genians.com.txt
