URL,80
3-dropboxjinx.r0.rule-album-cn01a.ocloud-test-8-payments.tadpole-d.ns.e.heytap.com,X,
3-dropboxjinx.r0.rule-album-cn01a.ocloud-test-8-ww1evelynn.tadpole-d.ns.e.heytap.com,X,
3-dropboxjinx.r0.rule-amarketingum-cn01a.ocloud-test-8-ww1evelynn.tadpole-d.ns.ecms1.heytap.com,X,
3-dropbox.r0.rule-album-cn01a.anakin.tadpole-d.ns.e.heytap.com,X,
3-dropbox.r0.rule-album-cn01a.homepage.grupper.ns.e.heytap.com,X,
3-dropbox.r0.rule-album-cn01a.homepage.tadpole-d.ns.e.heytap.com,X,
3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1-mail.tadpole-d.dockerjinx.ns.e.heytap.com,X,
3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1.tadpole-d.ns.e.heytap.com,X,
3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1.tadpole-d.ns.otafsg1-az.e.heytap.com,X,
account.heytap.com,X,
activity-static-front.heytap.com,X,
aem.heytap.com,X,
autodiscover.heytap.com,X,
brand.heytap.com,X,
chat.heytap.com,X,
cloud.heytap.com,X,
covideomc5.heytap.com,X,
credit.heytap.com,X,
danghuan.heytap.com,X,
designer.heytap.com,X,
design.heytap.com,X,
dm.heytap.com,X,
e.heytap.com,X,
e-in.heytap.com,X,
epicac.3-dropbox.r0.rule-album-trafficn01a01a.ocloud-test-8-ww1.tool.tadpole-d.ns.e.e.heytap.com,X,
finance.heytap.com,X,
find.heytap.com,X,
findv1.heytap.com,X,
gamefile.heytap.com,X,
games.heytap.com,X,
gusty.fwplboards.3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1-cn01cloud.tadpole-d.dsfs.ns.e.heytap.com,X,
health.heytap.com,X,
heytap.com,X,
*.heytap.com.cn,X,
heytap.com.cn,X,
htsg-payapi-sg.heytap.com,X,
htsg-storeapi-sg.heytap.com,X,
htsg-storegateway-sg.heytap.com,X,
id.heytap.com,X,
imap.heytap.com,X,
lax13-dropboxjinx.r0.rule-album-cn01a.ocloud-test-8-ww1evelynn.tadpole-d.ns.teaccountst-e.heytap.com,X,
magnesium.3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1.tadpole-d.dsfs.ns.e.heytap.com,X,
msec.heytap.com,X,
muc.heytap.com,X,
muc-origin-fc8976.heytap.com,X,
mysql6.3-dropbox.r0.rule-album-trafficn01a01a.ocloud-test-8-ww1.tool.tadpole-d.ns.e.e.heytap.com,X,
pay.heytap.com,X,
payment.heytap.com,X,
pc-eu.heytap.com,X,
pc.heytap.com,X,
pc-in.heytap.com,X,
pc-sg.heytap.com,X,
plboards.3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1.tadpole-d.dsfs.authentication.ns.e.2016.heytap.com,X,
plboards.3-dropbox.r0.rule-album-cn01a.ocloud-test-8-ww1.tadpole-d.dsfs.ns.e.heytap.com,X,
plboards.3-dropbox.r0.rule-album-cn01a.ocloud-test-plboards-euw-ww1.tadpole-d.dsfs.ns.apps-e.heytap.com,X,
plboards.3-dropbox.r0.rule-album-cn0tadpole-d-nova.ocloud-test-8-wwtadpole-d-nov.tadpole-d.dsfs-paywall.ns.e.heytap.com,X,
portal-cc.heytap.com,X,
premsec.heytap.com,X,
prewww.heytap.com,X,
qpon.heytap.com,X,
rydeen-qpon-gl.heytap.com,X,
safe.heytap.com,X,
sm3na.r0.rule-album-cn01a.opreyihuandl-8-ww1.tadpole-d.ns.e.heytap.com,X,
smtp.heytap.com,X,
st.heytap.com,X,
store.heytap.com,X,
tech.heytap.com,X,
theme-h5-cn.heytap.com,X,
titan.heytap.com,X,
uat-brand.heytap.com,X,
uc-res-gl.heytap.com,X,
u.heytap.com,X,
u-id.heytap.com,X,
vip.heytap.com,X,
vip-origin-15298d.heytap.com,X,
www.google.com-94e3ff-machine-machine-honors-engine.gitlab.heytap.com,X,
www.heytap.com,X,
wwwtest.heytap.com,X,
zhongbao.heytap.com,X,
