URL,80
adfs.jcrew.com,X,
airwatchpoc.jcrew.com,X,
aka-e2e-factory.jcrew.com,X,
aka-e2e-www.jcrew.com,X,
aka-int-factory.jcrew.com,X,
aka-int-www.jcrew.com,X,
aka-stg-factory.jcrew.com,X,
aka-stg-www.jcrew.com,X,
answers.jcrew.com,X,
app24.jcrew.com,X,
*.app.jcrew.com,X,
app.jcrew.com,X,
argent.factory.jcrew.com,X,
argent.jcrew.com,X,
athome.jcrew.com,X,
autodiscover.jcrew.com,X,
av.jcrew.com,X,
awdevsvc.jcrew.com,X,
awDevSvc.jcrew.com,X,
Awdevsvc.jcrew.com,X,
awmagrel.jcrew.com,X,
awMAGrel.jcrew.com,X,
Awmagrel.jcrew.com,X,
aws.cloud.jcrew.com,X,
awseg.jcrew.com,X,
awSEG.jcrew.com,X,
Awseg.jcrew.com,X,
awservices.jcrew.com,X,
AWServices.jcrew.com,X,
bc.jcrew.com,X,
benefits.jcrew.com,X,
beta.factory.jcrew.com,X,
beta.jcrew.com,X,
bitbucket.jcrew.com,X,
blog.jcrew.com,X,
bm-web-factory.production.digital.jcrew.com,X,
bm-web-jcrew.production.digital.jcrew.com,X,
bwi-fbmadm-p02.jcrew.com,X,
bwi-fbmweb-p02.jcrew.com,X,
bwi-fbmweb-p03.jcrew.com,X,
bwi-fbmweb-p04.jcrew.com,X,
bwi-fbmweb-p05.jcrew.com,X,
bwi-fbmweb-p06.jcrew.com,X,
bwi-fbmweb-p07.jcrew.com,X,
bwi-fbmweb-p09.jcrew.com,X,
bwi-fbmweb-p10.jcrew.com,X,
bwi-fbmweb-p11.jcrew.com,X,
bwi-fbmweb-p12.jcrew.com,X,
bwi-jbmadm-p01.jcrew.com,X,
bwi-jbmadm-p02.jcrew.com,X,
bwi-jbmcon-p02.jcrew.com,X,
bwi-jbmweb-p01.jcrew.com,X,
bwi-jbmweb-p02.jcrew.com,X,
bwi-jbmweb-p03.jcrew.com,X,
bwi-jbmweb-p04.jcrew.com,X,
bwi-jbmweb-p06.jcrew.com,X,
bwi-jbmweb-p07.jcrew.com,X,
bwi-jbmweb-p08.jcrew.com,X,
bwi-jbmweb-p09.jcrew.com,X,
bwi-jbmweb-p10.jcrew.com,X,
bwi-jbmweb-p11.jcrew.com,X,
