Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,access.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.access.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.access.laurens.nl.txt
http,80,airbyte.laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.airbyte.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.airbyte.laurens.nl.txt
http,80,airbyte.test.laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.airbyte.test.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.airbyte.test.laurens.nl.txt
http,80,beterthuismetdementie-github.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.beterthuismetdementie-github.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.beterthuismetdementie-github.laurens.nl.txt
http,80,beterthuismetdementie.laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.beterthuismetdementie.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.beterthuismetdementie.laurens.nl.txt
http,80,citrixweb.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.citrixweb.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.citrixweb.laurens.nl.txt
http,80,dashboards.laurens.nl,BadStatus,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.dashboards.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.dashboards.laurens.nl.txt
http,80,emmsentry01.laurens.nl,BadStatus,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.emmsentry01.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.emmsentry01.laurens.nl.txt
http,80,html5.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.html5.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.html5.laurens.nl.txt
http,80,html5.laurens.nl.laurens.nl,BadStatus,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.html5.laurens.nl.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.html5.laurens.nl.laurens.nl.txt
http,80,iam.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.iam.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.iam.laurens.nl.txt
http,80,internevacatures.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.internevacatures.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.internevacatures.laurens.nl.txt
http,80,intranet.laurens.nl,BadStatus,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.intranet.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.intranet.laurens.nl.txt
http,80,isync.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.isync.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.isync.laurens.nl.txt
http,80,*.laurens.nl,BadStatus,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.*.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.*.laurens.nl.txt
http,80,laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.laurens.nl.txt
http,80,mijn-acc.laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.mijn-acc.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.mijn-acc.laurens.nl.txt
http,80,mijn.laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.mijn.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.mijn.laurens.nl.txt
http,80,monaco.laurens.nl,BadStatus,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.monaco.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.monaco.laurens.nl.txt
http,80,monacov9.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.monacov9.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.monacov9.laurens.nl.txt
http,80,my.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.my.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.my.laurens.nl.txt
http,80,myprint.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.myprint.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.myprint.laurens.nl.txt
http,80,noordwestexpress.laurens.nl,Successful,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.uitbureau.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.noordwestexpress.laurens.nl.txt
http,80,nps.laurens.nl,Timeout,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/screens/http.nps.laurens.nl.png,/home/jai/Documents/automations/programs/laurens.nl/Eyewitness/source/http.nps.laurens.nl.txt
