URL,80
access.laurens.nl,X,
airbyte.laurens.nl,X,
airbyte.test.laurens.nl,X,
beterthuismetdementie-github.laurens.nl,X,
beterthuismetdementie.laurens.nl,X,
citrixweb.laurens.nl,X,
dashboards.laurens.nl,X,
emmsentry01.laurens.nl,X,
html5.laurens.nl,X,
html5.laurens.nl.laurens.nl,X,
iam.laurens.nl,X,
internevacatures.laurens.nl,X,
intranet.laurens.nl,X,
isync.laurens.nl,X,
*.laurens.nl,X,
laurens.nl,X,
mijn-acc.laurens.nl,X,
mijn.laurens.nl,X,
monaco.laurens.nl,X,
monacov9.laurens.nl,X,
my.laurens.nl,X,
myprint.laurens.nl,X,
noordwestexpress.laurens.nl,X,
nps.laurens.nl,X,
pcuitwijk.laurens.nl,X,
p.laurens.nl,X,
printen.laurens.nl,X,
proactive.laurens.nl,X,
protocollen.laurens.nl,X,
remote-access.laurens.nl,X,
remote.laurens.nl,X,
remotexs.laurens.nl,X,
server01.laurens.nl,X,
serviceplein.laurens.nl,X,
sharepoint.laurens.nl,X,
smartxspoc.laurens.nl,X,
smtp1-02.laurens.nl,X,
smtp1-04.laurens.nl,X,
teams.laurens.nl,X,
test.laurens.nl,X,
thuiszorgprotocollen.laurens.nl,X,
toegangsportaal.laurens.nl,X,
uitbureau.laurens.nl,X,
uitwijk.laurens.nl,X,
vrijwilligers.laurens.nl,X,
web01.laurens.nl,X,
webfilemanager.laurens.nl,X,
webmail.laurens.nl,X,
werkenbij.laurens.nl,X,
wifi.laurens.nl,X,
ww.laurens.nl,X,
www.eigenzorg.laurens.nl,X,
www.exbtw.laurens.nl,X,
www.laurens.nl,X,
www.leerhuisnah.laurens.nl,X,
www.proactive.laurens.nl,X,
www.www.laurens.nl,X,
