Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,adap-h5.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.adap-h5.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.adap-h5.myoas.com.txt
http,80,adfs.t2mail.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.adfs.t2mail.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.adfs.t2mail.myoas.com.txt
http,80,apitest.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.vision.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.apitest.myoas.com.txt
http,80,ark.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.ark.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.ark.myoas.com.txt
http,80,autodiscover.email.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.autodiscover.email.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.autodiscover.email.myoas.com.txt
http,80,bdx.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.bdx.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.bdx.myoas.com.txt
http,80,cem-survey.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.lcp-mobile.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.cem-survey.myoas.com.txt
http,80,cloudfile.myoas.com,Timeout,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.cloudfile.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.cloudfile.myoas.com.txt
http,80,cmre1.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.cmre1.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.cmre1.myoas.com.txt
http,80,cmre2.myoas.com,BadStatus,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.cmre2.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.cmre2.myoas.com.txt
http,80,cms-hth.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.cms-hth.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.cms-hth.myoas.com.txt
http,80,coinbasemyoas.webproxy.idcvpnfreedp2www.prdstgswxlogitech.aws-com.developcnocc-0-283-1007.cloudfile-1.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.coinbasemyoas.webproxy.idcvpnfreedp2www.prdstgswxlogitech.aws-com.developcnocc-0-283-1007.cloudfile-1.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.coinbasemyoas.webproxy.idcvpnfreedp2www.prdstgswxlogitech.aws-com.developcnocc-0-283-1007.cloudfile-1.myoas.com.txt
http,80,commerce.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.commerce.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.commerce.myoas.com.txt
http,80,cooperation.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.cooperation.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.cooperation.myoas.com.txt
http,80,countly.myoas.com,Successful,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/screens/http.ssl.myoas.com.png,/home/jai/Documents/automations/programs/myoas.com/Eyewitness/source/http.countly.myoas.com.txt
