URL,80
adap-h5.myoas.com,X,
adfs.t2mail.myoas.com,X,
apitest.myoas.com,X,
ark.myoas.com,X,
autodiscover.email.myoas.com,X,
bdx.myoas.com,X,
cem-survey.myoas.com,X,
cloudfile.myoas.com,X,
cmre1.myoas.com,X,
cmre2.myoas.com,X,
cms-hth.myoas.com,X,
coinbasemyoas.webproxy.idcvpnfreedp2www.prdstgswxlogitech.aws-com.developcnocc-0-283-1007.cloudfile-1.myoas.com,X,
commerce.myoas.com,X,
cooperation.myoas.com,X,
countly.myoas.com,X,
datareportmobile.myoas.com,X,
dmg-dts-api.myoas.com,X,
email.myoas.com,X,
epush.myoas.com,X,
esign.myoas.com,X,
expe1.myoas.com,X,
ezmobile.myoas.com,X,
fsc-app.myoas.com,X,
gpw14.myoas.com,X,
icsm-test.myoas.com,X,
iknow.myoas.com,X,
iknow-rc.myoas.com,X,
imapi.myoas.com,X,
imtest.myoas.com,X,
imworkbench.myoas.com,X,
ipd-appo-mobile.myoas.com,X,
ipdmobile.myoas.com,X,
ipd-vote-mobile.myoas.com,X,
itadmin.myoas.com,X,
iwcs.myoas.com,X,
lanwp.informer.myoas.com,X,
lcp-mobile.myoas.com,X,
link.myoas.com,X,
localhost-mtp.myoas.com,X,
mail.email.myoas.com,X,
mail.myoas.com,X,
mail.t1mail.myoas.com,X,
menu.myoas.com,X,
mokr.myoas.com,X,
mtp.myoas.com,X,
mtp-test.myoas.com,X,
myoas.com,X,
obox-gz-weboffice02.myoas.com,X,
obox.myoas.com,X,
ocss.myoas.com,X,
odocs.myoas.com,X,
odocs-ocs.myoas.com,X,
olss.myoas.com,X,
open-apimarket.myoas.com,X,
oray.myoas.com,X,
o-tms.myoas.com,X,
paa-websocket.myoas.com,X,
plmmobile.myoas.com,X,
pmsmobile.myoas.com,X,
preview.myoas.com,X,
purma1.myoas.com,X,
rdvdi.myoas.com,X,
realpms.myoas.com,X,
recruit.myoas.com,X,
sbox-gz-weboffice01.myoas.com,X,
sbox-gz-weboffice05.myoas.com,X,
sbox-in.myoas.com,X,
sbox.myoas.com,X,
sbox-paris.myoas.com,X,
sbox-press.myoas.com,X,
scps.oray.myoas.com,X,
shimo-test.myoas.com,X,
slp.myoas.com,X,
soc.myoas.com,X,
ssl.myoas.com,X,
sso.myoas.com,X,
ssov2.myoas.com,X,
t1-3-1-0-5-6.oray.myoas.com,X,
t2mail.myoas.com,X,
t-approvalmobile.myoas.com,X,
tc510.oray.myoas.com,X,
t-calendar.myoas.com,X,
tc.myoas.com,X,
test-4a.myoas.com,X,
tjazp.oray.myoas.com,X,
tms-mobile.myoas.com,X,
tms.myoas.com,X,
tms-uat.myoas.com,X,
t-omeeting.myoas.com,X,
t-preview.myoas.com,X,
t-ssov2.myoas.com,X,
ttapi.myoas.com,X,
ttlogin.myoas.com,X,
ttmsg.myoas.com,X,
ttmsg-rc.myoas.com,X,
ttpic.myoas.com,X,
tv1c1.oray.myoas.com,X,
vfrcbvsx2.oray.myoas.com,X,
vhost06-mit.oray.myoas.com,X,
vireuw.oray.myoas.com,X,
virus.oray.myoas.com,X,
vision.myoas.com,X,
vm-115-146-89-172.oray.myoas.com,X,
vote.myoas.com,X,
webex.myoas.com,X,
ws5a5rzy.oray.myoas.com,X,
www.euphoriaguidenz.oray.myoas.com,X,
www.isk4.com.cdn.oray.myoas.com,X,
www.myoas.com,X,
x2f07e4d.dyn.oray.myoas.com,X,
x2f52b1a.dyn.oray.myoas.com,X,
x4d001558.dyn.oray.myoas.com,X,
x4d02bf99.dyn.oray.myoas.com,X,
x4d0f139a.dyn.oray.myoas.com,X,
x4dbfaefe.dyn.oray.myoas.com,X,
x4dbfff35.dyn.oray.myoas.com,X,
x55b37b4c.dyn.oray.myoas.com,X,
x5d8446ce.dyn.oray.myoas.com,X,
x5d86a6c9.dyn.oray.myoas.com,X,
x5f70a0e3.dyn.oray.myoas.com,X,
xd933bd8d.dyn.oray.myoas.com,X,
xd9b957bf.dyn.oray.myoas.com,X,
xd9ba5df0.dyn.oray.myoas.com,X,
xd9bf649a.dyn.oray.myoas.com,X,
xunche.myoas.com,X,
yearparty.myoas.com,X,
