URL,80
activity.myoppo.com,X,
appdownload.myoppo.com,X,
appversion-mobile.myoppo.com,X,
app-yezi-mobile.myoppo.com,X,
article.myoppo.com,X,
bbsfs.myoppo.com,X,
bbs.myoppo.com,X,
blazetest.myoppo.com,X,
brandhub-aem-eu.myoppo.com,X,
brandhub-api.myoppo.com,X,
brandhub.myoppo.com,X,
brandhub-uat.myoppo.com,X,
bvrusdfgk4m68tbdr340.customer.traffic.apk.scm.myoppo.com,X,
bvruurbpg8nudf1t2hog.apk.scm.w3.php.myoppo.com,X,
bvrv0irpg8nucfc423f0.apk.scm.nov.myoppo.com,X,
bvrv22le0shhjvob4e40.elastic.apk.scm.myoppo.com,X,
bvrv4avagi6frbdbnlv0.apk.scm-admins.cgi.myoppo.com,X,
bvrv9ubkvfp038uihv3g.apk.scm.lan.myoppo.com,X,
bvs3pqmuc7d1i5e0njmg.productionsctl-2dbc3f05.get.apk.scm.myoppo.com,X,
bvs3rluuc7d6ou9l9pdg.resource.apk.scm.myoppo.com,X,
bwms.in.myoppo.com,X,
cdimg.ssl.apk.scm.myoppo.com,X,
cloudstore.myoppo.com,X,
color.myoppo.com,X,
dm5.global.2012.apk.scm.myoppo.com,X,
drp.myoppo.com,X,
dzbkindex.myoppo.com,X,
dzbkjh1.myoppo.com,X,
dzbkjh2.myoppo.com,X,
eds.myoppo.com,X,
esa.myoppo.com,X,
esa-reg-eup.myoppo.com,X,
esa-reg-in.myoppo.com,X,
esa-reg.myoppo.com,X,
esa-reg-sg.myoppo.com,X,
falcon.myoppo.com,X,
fpb5.assets.apk.scm.myoppo.com,X,
ggb.resource.apk.scm.myoppo.com,X,
gkm-cdn.myoppo.com,X,
hd.myoppo.com,X,
hospitalng.resource.apk.scm.myoppo.com,X,
hq1398.apk.scm.cdn.myoppo.com,X,
hr-mobile.myoppo.com,X,
hr.myoppo.com,X,
hx.myoppo.com,X,
image.myoppo.com,X,
innereye.myoppo.com,X,
isrm.myoppo.com,X,
jss.assets.apk.scm.myoppo.com,X,
kbase.myoppo.com,X,
kd.administrators.apk.scm.myoppo.com,X,
lb-wap.myoppo.com,X,
mail.myoppo.com,X,
mdms.myoppo.com,X,
mms.myoppo.com,X,
m.myoppo.com,X,
myoppo.com,X,
newds01.myoppo.com,X,
newds02.myoppo.com,X,
newtq.myoppo.com,X,
newweather.myoppo.com,X,
oim.myoppo.com,X,
olearning-me.myoppo.com,X,
olearning.myoppo.com,X,
olearning-sgp.myoppo.com,X,
olearning-sgp-replay.myoppo.com,X,
oln-ind.myoppo.com,X,
operator.myoppo.com,X,
ormbi.myoppo.com,X,
o-share-aem.myoppo.com,X,
o-share.myoppo.com,X,
os-rmstest.myoppo.com,X,
pay.myoppo.com,X,
platform-vernemq-prod.myoppo.com,X,
popin.myoppo.com,X,
pop.myoppo.com,X,
product.myoppo.com,X,
qam.myoppo.com,X,
report-mobile.myoppo.com,X,
report.myoppo.com,X,
resource.myoppo.com,X,
rili.a.apk.scm.myoppo.com,X,
rmsdev.myoppo.com,X,
rmspre.myoppo.com,X,
rmstest.myoppo.com,X,
rtc1.myoppo.com,X,
rtc2.myoppo.com,X,
rtc-realme.myoppo.com,X,
salary.myoppo.com,X,
sale.myoppo.com,X,
scm-auth.myoppo.com,X,
scm.myoppo.com,X,
scrm.myoppo.com,X,
sentry.myoppo.com,X,
service-eu.myoppo.com,X,
service-in.myoppo.com,X,
service.myoppo.com,X,
service-sg-cdn.myoppo.com,X,
service-sg.myoppo.com,X,
service-show.myoppo.com,X,
servicetest-eu.myoppo.com,X,
service-test.myoppo.com,X,
servicetest-sg-cdn.myoppo.com,X,
servicetest-sg.myoppo.com,X,
servicetest-vn.myoppo.com,X,
shopfs.myoppo.com,X,
smis-mobile.myoppo.com,X,
smis.myoppo.com,X,
so.bbs.myoppo.com,X,
spm.myoppo.com,X,
sso.myoppo.com,X,
sync.myoppo.com,X,
tax-mobile.myoppo.com,X,
tax.myoppo.com,X,
test-a.myoppo.com,X,
test.myoppo.com,X,
tfms.myoppo.com,X,
tm.myoppo.com,X,
tonight.apk.scm.jinx-2dbc3f05-management.api.myoppo.com,X,
tools.myoppo.com,X,
upgradeinfo-mobile.myoppo.com,X,
vas.myoppo.com,X,
weather.myoppo.com,X,
weather-origin-f04a40.myoppo.com,X,
wms.myoppo.com,X,
workflow-idm.myoppo.com,X,
www.myoppo.com,X,
wx.myoppo.com,X,
wxtest.myoppo.com,X,
x9031.myoppo.com,X,
yezi-mobile.myoppo.com,X,
yezi.myoppo.com,X,
zg2.stats.apk.scm.myoppo.com,X,
zh13923723458.apk.scm.18.myoppo.com,X,
