Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,activity.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.activity.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.activity.oppo.cn.txt
http,80,admin.wx.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.admin.wx.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.admin.wx.oppo.cn.txt
http,80,adminwx.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.adminwx.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.adminwx.oppo.cn.txt
http,80,api.update2021.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.api.update2021.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.api.update2021.oppo.cn.txt
http,80,bbs.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.bbs.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.bbs.oppo.cn.txt
http,80,bvrsdquuc7d04a0216t0.webproxy.idcjxbf.1.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.bvrsdquuc7d04a0216t0.webproxy.idcjxbf.1.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.bvrsdquuc7d04a0216t0.webproxy.idcjxbf.1.oppo.cn.txt
http,80,bvs4j4jpg8nlbceqgto0.a245090.com-cloud-homedoctorvisits-hdverifyelblax-carton-homecloud.com-cloud-pretest-machine-williamahuston-google.1.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.bvs4j4jpg8nlbceqgto0.a245090.com-cloud-homedoctorvisits-hdverifyelblax-carton-homecloud.com-cloud-pretest-machine-williamahuston-google.1.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.bvs4j4jpg8nlbceqgto0.a245090.com-cloud-homedoctorvisits-hdverifyelblax-carton-homecloud.com-cloud-pretest-machine-williamahuston-google.1.oppo.cn.txt
http,80,coloros.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.m.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.coloros.oppo.cn.txt
http,80,com-cdn-homedoctorvisits-hdverifyelblax-carton-homecdn.com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.com-cdn-homedoctorvisits-hdverifyelblax-carton-homecdn.com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.com-cdn-homedoctorvisits-hdverifyelblax-carton-homecdn.com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn.txt
http,80,com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn.txt
http,80,emm.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.emm.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.emm.oppo.cn.txt
http,80,exapi.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.exapi.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.exapi.oppo.cn.txt
http,80,fswx.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.fswx.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.fswx.oppo.cn.txt
http,80,hdapi.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.i-msg.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hdapi.oppo.cn.txt
http,80,hd.oppo.cn,BadStatus,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.hd.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hd.oppo.cn.txt
http,80,hdpage.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.i-msg.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hdpage.oppo.cn.txt
http,80,hdres.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.hdres.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hdres.oppo.cn.txt
http,80,hdstatic2.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.hdstatic2.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hdstatic2.oppo.cn.txt
http,80,hdstatic.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.hdstatic.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hdstatic.oppo.cn.txt
http,80,hybrid.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.hybrid.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.hybrid.oppo.cn.txt
http,80,i-api.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.i-msg.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.i-api.oppo.cn.txt
http,80,i.api.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.i-msg.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.i.api.oppo.cn.txt
http,80,id.oppo.cn,Successful,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/screens/http.id.oppo.cn.png,/home/jai/Documents/automations/programs/oppo.cn/Eyewitness/source/http.id.oppo.cn.txt
