URL,80
activity.oppo.cn,X,
admin.wx.oppo.cn,X,
adminwx.oppo.cn,X,
api.update2021.oppo.cn,X,
bbs.oppo.cn,X,
bvrsdquuc7d04a0216t0.webproxy.idcjxbf.1.oppo.cn,X,
bvs4j4jpg8nlbceqgto0.a245090.com-cloud-homedoctorvisits-hdverifyelblax-carton-homecloud.com-cloud-pretest-machine-williamahuston-google.1.oppo.cn,X,
coloros.oppo.cn,X,
com-cdn-homedoctorvisits-hdverifyelblax-carton-homecdn.com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn,X,
com-cdn-tomcat-machine-xcx2rd-myflowers.1.oppo.cn,X,
emm.oppo.cn,X,
exapi.oppo.cn,X,
fswx.oppo.cn,X,
hdapi.oppo.cn,X,
hd.oppo.cn,X,
hdpage.oppo.cn,X,
hdres.oppo.cn,X,
hdstatic2.oppo.cn,X,
hdstatic.oppo.cn,X,
hybrid.oppo.cn,X,
i-api.oppo.cn,X,
i.api.oppo.cn,X,
id.oppo.cn,X,
imgfs2.oppo.cn,X,
imgfs.oppo.cn,X,
i.mobile.oppo.cn,X,
i-msg.oppo.cn,X,
i.msg.oppo.cn,X,
in.oppo.cn,X,
iservice.oppo.cn,X,
i-sign.oppo.cn,X,
i.sign.oppo.cn,X,
i-thread.oppo.cn,X,
i.thread.oppo.cn,X,
i-topic.oppo.cn,X,
i.topic.oppo.cn,X,
i-user.oppo.cn,X,
i.user.oppo.cn,X,
leyuan.oppo.cn,X,
live-pull.oppo.cn,X,
mall.oppo.cn,X,
memberstatic.oppo.cn,X,
m.oppo.cn,X,
n.oppo.cn,X,
ofans.oppo.cn,X,
oia.oppo.cn,X,
opai.oppo.cn,X,
open.oppo.cn,X,
*.oppo.cn,X,
oppo.cn,X,
ossapihd-comm.oppo.cn,X,
ossapihd.comm.oppo.cn,X,
paike.oppo.cn,X,
pretest.oppo.cn,X,
previp.oppo.cn,X,
previpstatic.oppo.cn,X,
pre-wx-admin.oppo.cn,X,
service.oppo.cn,X,
softether.com-cloud-spb-factivationp.1.oppo.cn,X,
sts.oppo.cn,X,
surveyfs.oppo.cn,X,
surveyfs-origin-268360.oppo.cn,X,
survey.oppo.cn,X,
test.i.msg.oppo.cn,X,
test.i.task.oppo.cn,X,
test.i.thread.oppo.cn,X,
test.i.user.oppo.cn,X,
topic.oppo.cn,X,
update2021.oppo.cn,X,
vipapi.oppo.cn,X,
vip.oppo.cn,X,
vipstatic.oppo.cn,X,
vodfs.oppo.cn,X,
www.find.oppo.cn,X,
www.google.com-cloud-11payment-10-learning-enginepaymentprodmrc-mbu.cms1.oppo.cn,X,
www.google.com-cloud-16-myphilhealthlax-learning-myaccount-17lax.f.oppo.cn,X,
www.google.com-cloud-button-11-i-thread-engineelb.12.oppo.cn,X,
www.google.com-cloud-desktop-server.1.oppo.cn,X,
www.google.com-cloud-enginezfs-cartonelblaxvpn-learning-engine.hybrid.1.oppo.cn,X,
www.google.com-cloud-hdverify-google-learning-mylonelypussyelb.com-cloud-enginevpn-platform-myseat-engine.1.oppo.cn,X,
www.google.com-cloud-homenitorprod-machine-learning-engine.sourceprod.1.oppo.cn,X,
www.google.com-cloud-hybrid-machine-12-engine.1.oppo.cn,X,
www.google.com-cloud-krw.pt.1.oppo.cn,X,
www.google.com-cloud-lightcrypto.1.oppo.cn,X,
www.google.com-cloud-map2110-l1.1.oppo.cn,X,
www.google.com-cloud-platform-16-enginevpn-button.12.oppo.cn,X,
www.google.com-cloud-platform-hdtwitch-learning-enginepaymentfs.9.oppo.cn,X,
www.google.com-cloud-platform-i-signprod-learning-i-sign.com-cloud-1-engineengine-learning-engine.w.oppo.cn,X,
www.google.com-cloud-platform-xcx2rdprod2-learning-enginepayment.9.oppo.cn,X,
www.google.com-cloud-surveyelb-engineprodprod-myaccount-google.cdnw.oppo.cn,X,
www.google.com-cloud-surveyfs-platform-learning-engine.com-cloud-hdverify-google-learning-appleidelb.1.oppo.cn,X,
www.oppo.cn,X,
wx.api.images.oppo.cn,X,
wxapi.oppo.cn,X,
wximg.oppo.cn,X,
wxmsg.oppo.cn,X,
wxopen.oppo.cn,X,
wx.oppo.cn,X,
xcx3rd.oppo.cn,X,
xcx.oppo.cn,X,
