Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,2fcommunityin.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.2fcommunityin.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.2fcommunityin.oppo.com.txt
http,80,5years.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.5years.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.5years.oppo.com.txt
http,80,a121.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.a121.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.a121.oppo.com.txt
http,80,a201mobile.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.a201mobile.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.a201mobile.oppo.com.txt
http,80,a201.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.a201.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.a201.oppo.com.txt
http,80,a209.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.a209.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.a209.oppo.com.txt
http,80,a520.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.a520.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.a520.oppo.com.txt
http,80,acc.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.acc.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.acc.oppo.com.txt
http,80,account.community.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.account.community.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.account.community.oppo.com.txt
http,80,account.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.account.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.account.oppo.com.txt
http,80,activity.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.activity.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.activity.oppo.com.txt
http,80,address.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.address.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.address.oppo.com.txt
http,80,adtss.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.adtss.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.adtss.oppo.com.txt
http,80,after-sales.address.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.after-sales.address.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.after-sales.address.oppo.com.txt
http,80,after-sales.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.after-sales.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.after-sales.oppo.com.txt
http,80,andes.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.andes.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.andes.oppo.com.txt
http,80,assorted.downloads.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.assorted.downloads.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.assorted.downloads.oppo.com.txt
http,80,autodiscover.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.autodiscover.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.autodiscover.oppo.com.txt
http,80,awstats.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.awstats.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.awstats.oppo.com.txt
http,80,bbsfs.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bbsfs.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bbsfs.oppo.com.txt
http,80,bbsmy.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bbsmy.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bbsmy.oppo.com.txt
http,80,bbs.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bbs.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bbs.oppo.com.txt
http,80,bbspre.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bbspre.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bbspre.oppo.com.txt
http,80,bbsstatic.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bbsstatic.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bbsstatic.oppo.com.txt
http,80,bdev.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bdev.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bdev.oppo.com.txt
http,80,bdev-pre.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.bdev-pre.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bdev-pre.oppo.com.txt
http,80,blog.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.blog.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.blog.oppo.com.txt
http,80,bshop.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.myoppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.bshop.oppo.com.txt
http,80,business.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.business.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.business.oppo.com.txt
http,80,campus-api.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.campus-api.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.campus-api.oppo.com.txt
http,80,campus.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.campus.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.campus.oppo.com.txt
http,80,campus-oss.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.campus-oss.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.campus-oss.oppo.com.txt
http,80,career.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.career.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.career.oppo.com.txt
http,80,careers.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.careers.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.careers.oppo.com.txt
http,80,chat-eu.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.myoppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat-eu.oppo.com.txt
http,80,chat-in.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.image.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat-in.oppo.com.txt
http,80,chat.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.chat.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat.oppo.com.txt
http,80,chat-sg.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.myoppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat-sg.oppo.com.txt
http,80,chat-support-eu.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.chat-support-eu.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat-support-eu.oppo.com.txt
http,80,chat-support-in.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.chat-support-in.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat-support-in.oppo.com.txt
http,80,chat-support.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.chat-support.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.chat-support.oppo.com.txt
http,80,china1.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.china1.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.china1.oppo.com.txt
http,80,china.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.china.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.china.oppo.com.txt
http,80,cloud.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.myoppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.cloud.oppo.com.txt
http,80,cloudpic.exapi.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.cloudpic.exapi.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.cloudpic.exapi.oppo.com.txt
http,80,cloud-test.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.myoppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.cloud-test.oppo.com.txt
http,80,club.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.club.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.club.oppo.com.txt
http,80,cms.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.uat-cms.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.cms.oppo.com.txt
http,80,code.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.image.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.code.oppo.com.txt
http,80,communityin.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.communityin.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.communityin.oppo.com.txt
http,80,communityin-web.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.communityin.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.communityin-web.oppo.com.txt
http,80,communitymy.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.communitymy.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.communitymy.oppo.com.txt
http,80,community.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.community.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.community.oppo.com.txt
http,80,connect.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.connect.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.connect.oppo.com.txt
http,80,crm-api-sg.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.crm-api-sg.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.crm-api-sg.oppo.com.txt
http,80,cszsk.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.cszsk.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.cszsk.oppo.com.txt
http,80,designer.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.designer.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.designer.oppo.com.txt
http,80,design.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.design.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.design.oppo.com.txt
http,80,dl.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.dl.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.dl.oppo.com.txt
http,80,downloads.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.downloads.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.downloads.oppo.com.txt
http,80,drm.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.drm.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.drm.oppo.com.txt
http,80,dsfs.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.dsfs.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.dsfs.oppo.com.txt
http,80,ds.tj.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.ds.tj.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.ds.tj.oppo.com.txt
http,80,d.theme.exapi.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.d.theme.exapi.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.d.theme.exapi.oppo.com.txt
http,80,dz.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.dz.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.dz.oppo.com.txt
http,80,eftp.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.eftp.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.eftp.oppo.com.txt
http,80,eg.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.eg.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.eg.oppo.com.txt
http,80,email.oppo.com,Timeout,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.email.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.email.oppo.com.txt
http,80,en.cdn.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.en.cdn.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.en.cdn.oppo.com.txt
http,80,en.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.en.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.en.oppo.com.txt
http,80,eurwarranty.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.myoppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.eurwarranty.oppo.com.txt
http,80,events.oppo.com,Successful,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.events.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.events.oppo.com.txt
http,80,exapi.oppo.com,BadStatus,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/screens/http.exapi.oppo.com.png,/home/jai/Documents/automations/programs/oppo.com/Eyewitness/source/http.exapi.oppo.com.txt
