URL,80
2fcommunityin.oppo.com,X,
5years.oppo.com,X,
a121.oppo.com,X,
a201mobile.oppo.com,X,
a201.oppo.com,X,
a209.oppo.com,X,
a520.oppo.com,X,
acc.oppo.com,X,
account.community.oppo.com,X,
account.oppo.com,X,
activity.oppo.com,X,
address.oppo.com,X,
adtss.oppo.com,X,
after-sales.address.oppo.com,X,
after-sales.oppo.com,X,
andes.oppo.com,X,
assorted.downloads.oppo.com,X,
autodiscover.oppo.com,X,
awstats.oppo.com,X,
bbsfs.oppo.com,X,
bbsmy.oppo.com,X,
bbs.oppo.com,X,
bbspre.oppo.com,X,
bbsstatic.oppo.com,X,
bdev.oppo.com,X,
bdev-pre.oppo.com,X,
blog.oppo.com,X,
bshop.oppo.com,X,
business.oppo.com,X,
campus-api.oppo.com,X,
campus.oppo.com,X,
campus-oss.oppo.com,X,
career.oppo.com,X,
careers.oppo.com,X,
chat-eu.oppo.com,X,
chat-in.oppo.com,X,
chat.oppo.com,X,
chat-sg.oppo.com,X,
chat-support-eu.oppo.com,X,
chat-support-in.oppo.com,X,
chat-support.oppo.com,X,
china1.oppo.com,X,
china.oppo.com,X,
cloud.oppo.com,X,
cloudpic.exapi.oppo.com,X,
cloud-test.oppo.com,X,
club.oppo.com,X,
cms.oppo.com,X,
code.oppo.com,X,
communityin.oppo.com,X,
communityin-web.oppo.com,X,
communitymy.oppo.com,X,
community.oppo.com,X,
connect.oppo.com,X,
crm-api-sg.oppo.com,X,
cszsk.oppo.com,X,
designer.oppo.com,X,
design.oppo.com,X,
dl.oppo.com,X,
downloads.oppo.com,X,
drm.oppo.com,X,
dsfs.oppo.com,X,
ds.tj.oppo.com,X,
d.theme.exapi.oppo.com,X,
dz.oppo.com,X,
eftp.oppo.com,X,
eg.oppo.com,X,
email.oppo.com,X,
en.cdn.oppo.com,X,
en.oppo.com,X,
eurwarranty.oppo.com,X,
events.oppo.com,X,
exapi.oppo.com,X,
expc1.oppo.com,X,
expc2.oppo.com,X,
expe1.oppo.com,X,
expe2.oppo.com,X,
fastsmtp.oppo.com,X,
file.oppo.com,X,
find5.oppo.com,X,
find.oppo.com,X,
findphone.oppo.com,X,
findv1.oppo.com,X,
find.yun.oppo.com,X,
fs.oppo.com,X,
ftpex.oppo.com,X,
ftp.oppo.com,X,
fuwu.oppo.com,X,
gkm-cn.oppo.com,X,
gkm.oppo.com,X,
gkm-s3cdn-sg.oppo.com,X,
global.oppo.com,X,
go.oppo.com,X,
gray-push-intl.oppo.com,X,
hd.oppo.com,X,
hio.oppo.com,X,
hr-file-ext.oppo.com,X,
hr.oppo.com,X,
htsg-payapi-sg.oppo.com,X,
htsg-storeapi-sg.oppo.com,X,
hwimap.oppo.com,X,
hwsmtp.oppo.com,X,
icontact.exapi.oppo.com,X,
id.oppo.com,X,
ieurwarranty.oppo.com,X,
image.oppo.com,X,
imagine-if.oppo.com,X,
im-api.oppo.com,X,
imap.oppo.com,X,
im.oppo.com,X,
ind-sow-cms.oppo.com,X,
insightsdl.oppo.com,X,
insights.oppo.com,X,
ipics.oppo.com,X,
isms.exapi.oppo.com,X,
i.theme.exapi.oppo.com,X,
itheme.exapi.oppo.com,X,
i.video.oppo.com,X,
i.warranty.oppo.com,X,
iwarranty.oppo.com,X,
liveapi.oppo.com,X,
lockcard.oppo.com,X,
lt.oppo.com,X,
mail1.oppo.com,X,
mail9988.oppo.com,X,
mall.oppo.com,X,
market.oppo.com,X,
membership-in.oppo.com,X,
m.find.yun.oppo.com,X,
m-insights.oppo.com,X,
mmevents-hd.oppo.com,X,
mmmail.oppo.com,X,
mobile.oppo.com,X,
mp3.oppo.com,X,
msec.oppo.com,X,
msts.oppo.com,X,
mx.oppo.com,X,
myevents-hd.oppo.com,X,
*.myoppo.com,X,
my.oppo.com,X,
myoppo.com,X,
myshop.oppo.com,X,
newds.oppo.com,X,
newsletter.oppo.com,X,
nimap.oppo.com,X,
note.yun.oppo.com,X,
nps.oppo.com,X,
nsmtp.oppo.com,X,
o-doctor.oppo.com,X,
ogeek.oppo.com,X,
oim.oppo.com,X,
oldcms.oppo.com,X,
olss-online.oppo.com,X,
omail.oppo.com,X,
open.oppo.com,X,
*.oppo.com,X,
oppo.com,X,
opsg-api-in.oppo.com,X,
opsg-gateway-in.oppo.com,X,
opsg-gsp-in.oppo.com,X,
opsg-payapi-in.oppo.com,X,
opsg-preapi-in.oppo.com,X,
opsiteapi-cn.oppo.com,X,
opsiteapi-sg.oppo.com,X,
opss-api-sg.oppo.com,X,
opss-payapi-sg.oppo.com,X,
ossapihd.oppo.com,X,
otrans.oppo.com,X,
owa.oppo.com,X,
pan.yun.oppo.com,X,
par-sow-cms.oppo.com,X,
payment-in.oppo.com,X,
payment.oppo.com,X,
pop.oppo.com,X,
prehd.oppo.com,X,
pre-insights.oppo.com,X,
premsec.oppo.com,X,
premy.oppo.com,X,
prestore.oppo.com,X,
prewww.oppo.com,X,
preyihuandl.oppo.com,X,
privacy.oppo.com,X,
*.prof.oppo.com,X,
prof.oppo.com,X,
pub.oppo.com,X,
push-intl.oppo.com,X,
push.oppo.com,X,
reno-activity.oppo.com,X,
ruevents-hd.oppo.com,X,
securityfs.oppo.com,X,
security.oppo.com,X,
seebeyond-api.oppo.com,X,
seebeyond.oppo.com,X,
service1.oppo.com,X,
service.oppo.com,X,
sgp-sow-cms.oppo.com,X,
sgtm-in.oppo.com,X,
sgtm-sgp.oppo.com,X,
shop.oppo.com,X,
smtp.oppo.com,X,
social.oppo.com,X,
sow-cms.oppo.com,X,
spf.oppo.com,X,
srm.oppo.com,X,
static.oppo.com,X,
store.oppo.com,X,
store-statics-id.oppo.com,X,
*.support.oppo.com,X,
support.oppo.com,X,
surveys.oppo.com,X,
sync.yun.oppo.com,X,
t.aquila.oppo.com,X,
task.oppo.com,X,
tas.oppo.com,X,
*.theme.exapi.oppo.com,X,
theme.exapi.oppo.com,X,
theme.oppo.com,X,
ti.oppo.com,X,
t.old.oppo.com,X,
tps.oppo.com,X,
tv4.oppo.com,X,
ua-prof.oppo.com,X,
ua.prof.oppo.com,X,
uat-cms.oppo.com,X,
uat-support.oppo.com,X,
uat-www.oppo.com,X,
uc.oppo.com,X,
ulike2.oppo.com,X,
union.oppo.com,X,
ur.oppo.com,X,
vdi.oppo.com,X,
wap.oppo.com,X,
warranty.oppo.com,X,
wdl.oppo.com,X,
webexexpe.oppo.com,X,
wire.communityoppo.comtieganhuis6.sq.oppo.com,X,
www1.oppo.com,X,
www.account.oppo.com,X,
www.expe1.oppo.com,X,
www.mx.oppo.com,X,
www.oppo.com,X,
wx.oppo.com,X,
xiaoneng.oppo.com,X,
yihuandl.oppo.com,X,
yihuan.oppo.com,X,
*.yun.oppo.com,X,
yun.oppo.com,X,
yunv2.oppo.com,X,
z101.oppo.com,X,
zhushou.oppo.com,X,
