Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,123.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.123.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.123.oppomobile.com.txt
http,80,6-v-bucket-confluencepck8s-prdbjwwwwebproxy.ruleustore.f.oppomobile.com,BadStatus,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.6-v-bucket-confluencepck8s-prdbjwwwwebproxy.ruleustore.f.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.6-v-bucket-confluencepck8s-prdbjwwwwebproxy.ruleustore.f.oppomobile.com.txt
http,80,adsfs-id.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.adsfs-id.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.adsfs-id.oppomobile.com.txt
http,80,adsfs-in.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.adsfs-in.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.adsfs-in.oppomobile.com.txt
http,80,adsfs.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.captcha-sec.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.adsfs.oppomobile.com.txt
http,80,ads.oppomobile.com,BadStatus,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.ads.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.ads.oppomobile.com.txt
http,80,adx.ads.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.adx.ads.oppomobile.com.txt
http,80,adx-id.ads.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.adx-id.ads.oppomobile.com.txt
http,80,adx-in.ads.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.adx-in.ads.oppomobile.com.txt
http,80,a-in.browser.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.a-in.browser.oppomobile.com.txt
http,80,aiocloud.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.aiocloud.oppomobile.com.txt
http,80,aiscan.ocloud.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.aiscan.ocloud.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.aiscan.ocloud.oppomobile.com.txt
http,80,album-cn01a.ocloud.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.album-cn01a.ocloud.oppomobile.com.txt
http,80,album-in01a.ocloud.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.album-in01a.ocloud.oppomobile.com.txt
http,80,album-sg01a.ocloud.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.album-sg01a.ocloud.oppomobile.com.txt
http,80,annotate-ait.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.annotate-ait.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.annotate-ait.oppomobile.com.txt
http,80,aocloud.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.i.flow.browser.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.aocloud.oppomobile.com.txt
http,80,api.cdo.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.iuc.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.api.cdo.oppomobile.com.txt
http,80,apidev.open.oppomobile.com,Successful,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/screens/http.apidev.open.oppomobile.com.png,/home/jai/Documents/automations/programs/oppomobile.com/Eyewitness/source/http.apidev.open.oppomobile.com.txt
