URL,80
123.oppomobile.com,X,
6-v-bucket-confluencepck8s-prdbjwwwwebproxy.ruleustore.f.oppomobile.com,X,
adsfs-id.oppomobile.com,X,
adsfs-in.oppomobile.com,X,
adsfs.oppomobile.com,X,
ads.oppomobile.com,X,
adx.ads.oppomobile.com,X,
adx-id.ads.oppomobile.com,X,
adx-in.ads.oppomobile.com,X,
a-in.browser.oppomobile.com,X,
aiocloud.oppomobile.com,X,
aiscan.ocloud.oppomobile.com,X,
album-cn01a.ocloud.oppomobile.com,X,
album-in01a.ocloud.oppomobile.com,X,
album-sg01a.ocloud.oppomobile.com,X,
annotate-ait.oppomobile.com,X,
aocloud.oppomobile.com,X,
api.cdo.oppomobile.com,X,
apidev.open.oppomobile.com,X,
api.dns.oppomobile.com,X,
api-intl.push.oppomobile.com,X,
api.open.oppomobile.com,X,
api.push.oppomobile.com,X,
api-snake.oppomobile.com,X,
api.snake.oppomobile.com,X,
api.uc.oppomobile.com,X,
app.cdo.oppomobile.com,X,
app.search.oppomobile.com,X,
*.apps.oppomobile.com,X,
apps.oppomobile.com,X,
arnoldpro--coinbase.webproxy.id-captcha-sec.oppomobile.com,X,
b1.ads.oppomobile.com,X,
bact.oppomobile.com,X,
battle-websocket-instant-test.oppomobile.com,X,
bbs.game.oppomobile.com,X,
bbs.oppomobile.com,X,
bdapi.ads.oppomobile.com,X,
bdapi-id.ads.oppomobile.com,X,
bdapi-in.ads.oppomobile.com,X,
bjdata.ads.oppomobile.com,X,
*.bot.oppomobile.com,X,
bot.oppomobile.com,X,
browserimg.oppomobile.com,X,
*.browser.oppomobile.com,X,
browser.oppomobile.com,X,
b.search.oppomobile.com,X,
b-sg.search.oppomobile.com,X,
captcha-sec-eu.oppomobile.com,X,
captcha-sec-ind.oppomobile.com,X,
captcha-sec.oppomobile.com,X,
captcha-sec-sgp.oppomobile.com,X,
captcha.uc.oppomobile.com,X,
card.dc.oppomobile.com,X,
cdofs.oppomobile.com,X,
cdofs-origin-9e6348.oppomobile.com,X,
cdofs-origin-9e6348-s.oppomobile.com,X,
*.cdo.oppomobile.com,X,
cdo.oppomobile.com,X,
cdooverseasfs.oppomobile.com,X,
cdopic0.oppomobile.com,X,
cdopic0-origin-c9d9a4-s.oppomobile.com,X,
cdopic1.oppomobile.com,X,
cdopic.f.oppomobile.com,X,
cdostream0.oppomobile.com,X,
cdostream1.oppomobile.com,X,
cdostream2.oppomobile.com,X,
ck.ads.oppomobile.com,X,
classroom.webproxy.id-store.oppomobile.com,X,
cloudi.browser.oppomobile.com,X,
cloudi-in.browser.oppomobile.com,X,
cloudi-sg.browser.oppomobile.com,X,
cm.ads.oppomobile.com,X,
cms.browser.oppomobile.com,X,
comment.browser.oppomobile.com,X,
conf.dc.oppomobile.com,X,
confe.dc.oppomobile.com,X,
conff.dc.oppomobile.com,X,
conn1.oppomobile.com,X,
conn1-origin-d4c6ad.oppomobile.com,X,
conn2.oppomobile.com,X,
c-snake.oppomobile.com,X,
cz.oppomobile.com,X,
daohang.oppomobile.com,X,
data.ads.oppomobile.com,X,
data-cl-f.ads.oppomobile.com,X,
data-cl-in.ads.oppomobile.com,X,
data-f.ads.oppomobile.com,X,
data-id.ads.oppomobile.com,X,
data-in.ads.oppomobile.com,X,
data-ostorage.ocloud.oppomobile.com,X,
data-sg.ads.oppomobile.com,X,
dceuex.push.oppomobile.com,X,
dc.foreign.oppomobile.com,X,
dcintl1.push.oppomobile.com,X,
dcintl2.push.oppomobile.com,X,
dcintl3.push.oppomobile.com,X,
dcintl.push.oppomobile.com,X,
*.dc.oppomobile.com,X,
dc.oppomobile.com,X,
dc.push.oppomobile.com,X,
developers.oppomobile.com,X,
dev.open.oppomobile.com,X,
dev.theme.oppomobile.com,X,
dhfs2.oppomobile.com,X,
dhfsf.oppomobile.com,X,
dhfs-id.oppomobile.com,X,
dhfs-in.oppomobile.com,X,
dhfs.oppomobile.com,X,
dhfs-th.oppomobile.com,X,
dhfs-vn.oppomobile.com,X,
dm.oppomobile.com,X,
dragate.dc.oppomobile.com,X,
dragate-sg.dc.oppomobile.com,X,
dwz.oppomobile.com,X,
e.oppomobile.com,X,
epoch.cdo.oppomobile.com,X,
event.dc.oppomobile.com,X,
fast-wallet.finz.oppomobile.com,X,
feedback.foreign.oppomobile.com,X,
feedback.oppomobile.com,X,
feedback.push.oppomobile.com,X,
*.finz.oppomobile.com,X,
finz.oppomobile.com,X,
f.oppomobile.com,X,
*.foreign.oppomobile.com,X,
foreign.oppomobile.com,X,
forum.cdo.oppomobile.com,X,
f.push.oppomobile.com,X,
g1.ads.oppomobile.com,X,
*.game.oppomobile.com,X,
game.oppomobile.com,X,
gcfs.oppomobile.com,X,
gl-activity.oppomobile.com,X,
gl-gameopen.oppomobile.com,X,
gl-game.oppomobile.com,X,
gl-gamesdk.oppomobile.com,X,
gl-theme.oppomobile.com,X,
g.search.oppomobile.com,X,
gslb.cdo.oppomobile.com,X,
g.snake.oppomobile.com,X,
h.magzine.oppomobile.com,X,
httpdns.basic.oppomobile.com,X,
httpdns-euex.push.oppomobile.com,X,
httpdns.ocloud.oppomobile.com,X,
httpdns.push.oppomobile.com,X,
i1.weather.oppomobile.com,X,
i2.weather.oppomobile.com,X,
i5.weather.oppomobile.com,X,
i6-eu.weather.oppomobile.com,X,
i6f.weather.oppomobile.com,X,
i6-in.weather.oppomobile.com,X,
i6-kz.weather.oppomobile.com,X,
i6-ru.weather.oppomobile.com,X,
i6-vn.weather.oppomobile.com,X,
i6.weather.oppomobile.com,X,
iactivity.cdo.oppomobile.com,X,
i.bot.oppomobile.com,X,
i.browser.oppomobile.com,X,
i-cn01a.ocloud.oppomobile.com,X,
icredits.oppomobile.com,X,
id-activity.oppomobile.com,X,
idapi.open.oppomobile.com,X,
idapi.store.oppomobile.com,X,
idepoch.cdo.oppomobile.com,X,
id-epoch.oppomobile.com,X,
id-game.oppomobile.com,X,
id-gamesdk.oppomobile.com,X,
id.oppomobile.com,X,
id.push.oppomobile.com,X,
id-store.oppomobile.com,X,
iepoch.cdo.oppomobile.com,X,
