Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,bvrrdpjkvfpaotrjua90.9est1-pareaallet-8ty.wire.community-vpn.48.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrrdpjkvfpaotrjua90.9est1-pareaallet-8ty.wire.community-vpn.48.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrrdpjkvfpaotrjua90.9est1-pareaallet-8ty.wire.community-vpn.48.opposhop.cn.txt
http,80,bvrru9rkvfpfc8flf8ag.wire.community-tanya.rmarshall.41.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrru9rkvfpfc8flf8ag.wire.community-tanya.rmarshall.41.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrru9rkvfpfc8flf8ag.wire.community-tanya.rmarshall.41.opposhop.cn.txt
http,80,bvrruueuc7dfqbrv06eg.wire.community-pre-awww.blogeathers702web1661images.b.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrruueuc7dfqbrv06eg.wire.community-pre-awww.blogeathers702web1661images.b.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrruueuc7dfqbrv06eg.wire.community-pre-awww.blogeathers702web1661images.b.opposhop.cn.txt
http,80,bvrs05rpg8nsjsvpbj8g.pc54.webproxy.idcrouter11v04.zdv.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrs05rpg8nsjsvpbj8g.pc54.webproxy.idcrouter11v04.zdv.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrs05rpg8nsjsvpbj8g.pc54.webproxy.idcrouter11v04.zdv.opposhop.cn.txt
http,80,bvrs05rpg8nsjsvpc8hg.pc54.webproxy.idcrouter11v04.zdv.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrs05rpg8nsjsvpc8hg.pc54.webproxy.idcrouter11v04.zdv.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrs05rpg8nsjsvpc8hg.pc54.webproxy.idcrouter11v04.zdv.opposhop.cn.txt
http,80,bvrtsdbpg8nl1jc6cg9g.r0.rule-k48kasi-ep.eapachecarfax-europe.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrtsdbpg8nl1jc6cg9g.r0.rule-k48kasi-ep.eapachecarfax-europe.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrtsdbpg8nl1jc6cg9g.r0.rule-k48kasi-ep.eapachecarfax-europe.opposhop.cn.txt
http,80,bvrtsdbpg8nl1jc6cg9g.r0.rule-k48kasi-ep.e.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.bvrtsdbpg8nl1jc6cg9g.r0.rule-k48kasi-ep.e.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.bvrtsdbpg8nl1jc6cg9g.r0.rule-k48kasi-ep.e.opposhop.cn.txt
http,80,collect8543-7.wire.community-parkeronline.budget.h21-0b1c610e704d2e734.inst.aws.cn-northwest-1.cnprod.s4devkhs.opposhop.cn,BadStatus,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.collect8543-7.wire.community-parkeronline.budget.h21-0b1c610e704d2e734.inst.aws.cn-northwest-1.cnprod.s4devkhs.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.collect8543-7.wire.community-parkeronline.budget.h21-0b1c610e704d2e734.inst.aws.cn-northwest-1.cnprod.s4devkhs.opposhop.cn.txt
http,80,collect.opposhop.cn,Successful,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.collect.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.collect.opposhop.cn.txt
http,80,hd.opposhop.cn,Timeout,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/screens/http.hd.opposhop.cn.png,/home/jai/Documents/automations/programs/opposhop.cn/Eyewitness/source/http.hd.opposhop.cn.txt
