Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,40ge.vdx-rb1.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.40ge.vdx-rb1.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.40ge.vdx-rb1.snel.com.txt
http,80,ad.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.ad.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.ad.snel.com.txt
http,80,api.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.api.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.api.snel.com.txt
http,80,arping.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.arping.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.arping.snel.com.txt
http,80,auth.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.auth.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.auth.snel.com.txt
http,80,backup-ams.snel.com,Timeout,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.backup-ams.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.backup-ams.snel.com.txt
http,80,backuphv01.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.backuphv01.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.backuphv01.snel.com.txt
http,80,backup-rtd.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.backup-rtd.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.backup-rtd.snel.com.txt
http,80,backup.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.backup-rtd.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.backup.snel.com.txt
http,80,c1.deovero.k8s.snel.com,Timeout,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.c1.deovero.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.c1.deovero.k8s.snel.com.txt
http,80,c2.deovero.k8s.snel.com,Timeout,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.c2.deovero.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.c2.deovero.k8s.snel.com.txt
http,80,c3.deovero.k8s.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.traffic.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.c3.deovero.k8s.snel.com.txt
http,80,cache.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.cache.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.cache.snel.com.txt
http,80,cc.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.cc.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.cc.snel.com.txt
http,80,centos6.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.centos6.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.centos6.snel.com.txt
http,80,chat.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.chat.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.chat.snel.com.txt
http,80,checkmk.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.checkmk.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.checkmk.snel.com.txt
http,80,cometbackup.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.cometbackup.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.cometbackup.snel.com.txt
http,80,connect.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.connect.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.connect.snel.com.txt
http,80,control.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.control.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.control.snel.com.txt
http,80,cpanel1.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.cpanel1.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.cpanel1.snel.com.txt
http,80,cpanel.cpanel1.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.cpanel.cpanel1.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.cpanel.cpanel1.snel.com.txt
http,80,customer2.nl1.k8s.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.customer2.nl1.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.customer2.nl1.k8s.snel.com.txt
http,80,customer3.nl1.k8s.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.customer3.nl1.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.customer3.nl1.k8s.snel.com.txt
http,80,dashboard.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dashboard.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dashboard.snel.com.txt
http,80,dash.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dash.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dash.snel.com.txt
http,80,dc1.ad.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dc1.ad.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dc1.ad.snel.com.txt
http,80,dcimanager6.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dcimanager6.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dcimanager6.snel.com.txt
http,80,dcimanager.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dcimanager.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dcimanager.snel.com.txt
http,80,dev1.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dev1.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dev1.snel.com.txt
http,80,dev2.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dev2.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dev2.snel.com.txt
http,80,dev.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dev1.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dev.snel.com.txt
http,80,dhcp.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.traffic.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dhcp.snel.com.txt
http,80,directus.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.n8n.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.directus.snel.com.txt
http,80,dns.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dns.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.dns.snel.com.txt
http,80,docker.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dash.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.docker.snel.com.txt
http,80,docs.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.docs.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.docs.snel.com.txt
http,80,echoip.customer3.k8s.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.echoip.customer3.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.echoip.customer3.k8s.snel.com.txt
http,80,echoip.nl1.k8s.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.echoip.nl1.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.echoip.nl1.k8s.snel.com.txt
http,80,files.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.files.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.files.snel.com.txt
http,80,forwarder.api.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.dash.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.forwarder.api.snel.com.txt
http,80,ftp.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.ftp.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.ftp.snel.com.txt
http,80,fw1.snel.com,Timeout,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.fw1.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.fw1.snel.com.txt
http,80,git.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.git.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.git.snel.com.txt
http,80,grafana.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.n8n.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.grafana.snel.com.txt
http,80,gw.ad.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.gw.ad.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.gw.ad.snel.com.txt
http,80,host001.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.host001.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.host001.snel.com.txt
http,80,hosted-by.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hosted-by.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hosted-by.snel.com.txt
http,80,hv01.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv01.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv01.snel.com.txt
http,80,hv02.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv02.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv02.snel.com.txt
http,80,hv03.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv03.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv03.snel.com.txt
http,80,hv04.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv04.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv04.snel.com.txt
http,80,hv05.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv05.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv05.snel.com.txt
http,80,hv06.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv06.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv06.snel.com.txt
http,80,hv07.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv07.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv07.snel.com.txt
http,80,hv08.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv08.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv08.snel.com.txt
http,80,hv09.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv09.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv09.snel.com.txt
http,80,hv10.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv10.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv10.snel.com.txt
http,80,hv11.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv11.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv11.snel.com.txt
http,80,hv12.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv12.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv12.snel.com.txt
http,80,hv13.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.hv13.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.hv13.snel.com.txt
http,80,icinga.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.icinga.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.icinga.snel.com.txt
http,80,imap.mx.mx.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.imap.mx.mx.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.imap.mx.mx.snel.com.txt
http,80,imap.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.imap.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.imap.snel.com.txt
http,80,img.transactionalmail.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.img.transactionalmail.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.img.transactionalmail.snel.com.txt
http,80,influxdb.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.traffic.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.influxdb.snel.com.txt
http,80,ipmanager.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.ipmanager.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.ipmanager.snel.com.txt
http,80,ipmiproxy.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.ipmiproxy.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.ipmiproxy.snel.com.txt
http,80,jump.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.jump.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.jump.snel.com.txt
http,80,k8s.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.k8s.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.k8s.snel.com.txt
http,80,keycdn.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.keycdn.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.keycdn.snel.com.txt
http,80,librenms.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.librenms.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.librenms.snel.com.txt
http,80,logserver.snel.com,Successful,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.logserver.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.logserver.snel.com.txt
http,80,logs.snel.com,BadStatus,/home/jai/Documents/automations/programs/snel.com/eyewitness/screens/http.logs.snel.com.png,/home/jai/Documents/automations/programs/snel.com/eyewitness/source/http.logs.snel.com.txt
