URL,80
ai.playground.terrahost.com,X,
ams-nl.terrahost.com,X,
api.terrahost.com,X,
asstats.ams-nl.terrahost.com,X,
asstats.kc-us.terrahost.com,X,
btcpay.terrahost.com,X,
classicslots.co.uk.terrahost.com,X,
cpanel.terrahost.com,X,
dev.terrahost.com,X,
docs.terrahost.com,X,
enigma.terrahost.com,X,
host1-ams-nl.pve.terrahost.com,X,
host1-kc-us.pve.terrahost.com,X,
host1-ng.pve.terrahost.com,X,
host2-ng.pve.terrahost.com,X,
host3-ng.pve.terrahost.com,X,
host4-ng.pve.terrahost.com,X,
kc-us.terrahost.com,X,
la-ng.terrahost.com,X,
lg.ams-nl.terrahost.com,X,
lg.kc-us.terrahost.com,X,
lg.la-ng.terrahost.com,X,
lg.terrahost.com,X,
mail.terrahost.com,X,
matomo.terrahost.com,X,
minio1-kc-us.terrahost.com,X,
minio1-ng.terrahost.com,X,
minio2-kc-us.terrahost.com,X,
minio3-kc-us.terrahost.com,X,
minio4-kc-us.terrahost.com,X,
minio5-kc-us.terrahost.com,X,
minio6-kc-us.terrahost.com,X,
minio7-kc-us.terrahost.com,X,
minio8-kc-us.terrahost.com,X,
mirror.kc-us.terrahost.com,X,
playground.terrahost.com,X,
pve.terrahost.com,X,
secure.terrahost.com,X,
smokeping.terrahost.com,X,
static.194.32.107.187.terrahost.com,X,
support.terrahost.com,X,
tacacsgui.terrahost.com,X,
terrahost.com,X,
tp.terrahost.com,X,
uk.terrahost.com,X,
vdshost1-ams-nl.pve.terrahost.com,X,
webmail.terrahost.com,X,
www.terrahost.com,X,
